iter	Passed	Remaining
0	1	168
1	3	158
2	4	153
3	6	151
4	7	149
5	9	148
6	10	145
7	12	145
8	14	144
9	15	142
10	17	141
11	18	139
12	20	139
13	22	138
14	24	137
15	25	135
16	27	134
17	29	133
18	31	132
19	32	131
20	34	129
21	36	128
22	37	126
23	39	124
24	41	123
25	42	121
26	44	119
27	45	117
28	47	115
29	48	114
30	50	112
31	51	110
32	53	108
33	55	107
34	56	105
35	58	104
36	60	102
37	62	101
38	63	99
39	65	98
40	66	96
41	68	94
42	70	93
43	72	91
44	73	90
45	75	88
46	77	87
47	79	86
48	81	84
49	82	82
50	84	80
51	86	79
52	87	77
53	89	76
54	91	74
55	93	73
56	94	71
57	96	70
58	98	68
59	100	66
60	101	65
61	103	63
62	105	61
63	106	60
64	108	58
65	110	56
66	111	54
67	113	53
68	114	51
69	116	49
70	118	48
71	120	46
72	121	45
73	123	43
74	125	41
75	126	39
76	128	38
77	130	36
78	131	34
79	133	33
80	134	31
81	136	29
82	138	28
83	139	26
84	141	24
85	142	23
86	144	21
87	146	19
88	147	18
89	149	16
90	151	14
91	152	13
92	154	11
93	156	9
94	157	8
95	159	6
96	160	4
97	162	3
98	163	1
99	165	0
